RealisticTripsSettings	bool	tourism_trips		133
RealisticTripsSettings	int	trafficReduction		136
RealisticTripsSettings	float	travel_avgday		50
RealisticTripsSettings	float	travel_saturday		51
RealisticTripsSettings	float	travel_sunday		52
RealisticTripsSettings	float	travel_weekday		49
RealisticTripsSettings	timeEnum	univ_end_time		92
RealisticTripsSettings	timeEnum	univ_start_time		91
RealisticTripsSettings	bool	use_school_vanilla_timeoff		83
RealisticTripsSettings	bool	use_universal_mod_menu		139
RealisticTripsSettings	bool	use_vanilla_timeoff		15
RealisticTripsSettings	float	vacation_per_year		17
RealisticTripsSettings	timeEnum	work_end_time		106
RealisticTripsSettings	timeEnum	work_start_time		105
